userId,Gender,Age,ITRCompliance,Income
user0,Male,46.0,NotComplied,40084.0
user1,Male,66.0,NotComplied,NA
user2,Female,NA,Complied,35976.0
user3,Female,6.0,NotComplied,NA
user4,Male,45.0,Complied,53709.0
user5,Male,41.0,NotComplied,NA
user6,Female,NA,Complied,38428.0
user7,Male,37.0,NotComplied,NA
user8,Male,21.0,Complied,47061.0
user9,Female,59.0,Complied,40353.0
user10,Male,52.0,Complied,28882.0
user11,Female,25.0,Complied,37177.0
user12,Female,NA,Complied,46168.0
user13,Female,36.0,NotComplied,NA
user14,Female,NA,Complied,52107.0
user15,Male,46.0,NotComplied,NA
user16,Male,48.0,Complied,37232.0
user17,Female,48.0,Complied,32187.0
user18,Male,41.0,Complied,47021.0
user19,Male,32.0,Complied,35851.0
user20,Female,NA,Complied,47631.0
user21,Female,46.0,NotComplied,NA
user22,Male,58.0,Complied,49112.0
user23,Female,NA,NotComplied,54621.0
user24,Female,64.0,Complied,57593.0
user25,Male,42.0,NotComplied,49486.0
user26,Female,22.0,NotComplied,38200.0
user27,Female,49.0,Complied,24576.0
user28,Female,NA,Complied,54530.0
user29,Male,37.0,Complied,45809.0
user30,Male,38.0,NotComplied,NA
user31,Male,38.0,Complied,47499.0
user32,Female,NA,NotComplied,NA
user33,Female,NA,Complied,42128.0
user34,Female,9.0,NotComplied,NA
user35,Male,24.0,Complied,58295.0
user36,Female,NA,Complied,36626.0
user37,Male,34.0,Complied,48817.0
user38,Male,43.0,Complied,37540.0
user39,Female,NA,NotComplied,NA
user40,Male,45.0,NotComplied,NA
user41,Female,NA,NotComplied,39902.0
user42,Female,47.0,Complied,39916.0
user43,Female,NA,NotComplied,46841.0
user44,Male,38.0,Complied,58196.0
user45,Female,47.0,Complied,44908.0
user46,Male,35.0,Complied,54362.0
user47,Female,NA,Complied,35970.0
user48,Male,14.0,Complied,39944.0
user49,Male,35.0,NotComplied,36989.0
user50,Female,34.0,NotComplied,NA
user51,Female,NA,Complied,39980.0
user52,Male,33.0,Complied,48749.0
user53,Male,50.0,Complied,40561.0
user54,Male,41.0,Complied,47173.0
user55,Female,47.0,Complied,33091.0
user56,Female,NA,NotComplied,NA
user57,Female,NA,Complied,41175.0
user58,Male,39.0,NotComplied,21152.0
user59,Male,26.0,Complied,54768.0
user60,Female,24.0,Complied,35100.0
user61,Male,42.0,Complied,33348.0
user62,Male,44.0,NotComplied,NA
user63,Female,42.0,Complied,36501.0
user64,Male,40.0,NotComplied,44660.0
user65,Male,46.0,NotComplied,NA
user66,Female,62.0,NotComplied,NA
user67,Female,NA,NotComplied,35238.0
user68,Male,42.0,NotComplied,NA
user69,Male,61.0,Complied,29007.0
user70,Male,21.0,Complied,47006.0
user71,Female,47.0,NotComplied,NA
user72,Female,45.0,Complied,57870.0
user73,Female,NA,Complied,50793.0
user74,Female,NA,Complied,46174.0
user75,Male,53.0,NotComplied,37065.0
user76,Female,63.0,Complied,42954.0
user77,Female,38.0,NotComplied,49005.0
user78,Male,37.0,Complied,38916.0
user79,Male,33.0,Complied,32747.0
user80,Female,NA,NotComplied,NA
user81,Male,47.0,Complied,49499.0
user82,Female,52.0,NotComplied,NA
user83,Male,44.0,Complied,28921.0
user84,Female,NA,NotComplied,NA
user85,Male,39.0,Complied,36970.0
user86,Female,NA,NotComplied,40569.0
user87,Female,22.0,NotComplied,35650.0
user88,Male,47.0,NotComplied,44087.0
user89,Male,37.0,Complied,28089.0
user90,Female,45.0,NotComplied,47579.0
user91,Male,25.0,NotComplied,35188.0
user92,Female,51.0,Complied,40516.0
user93,Male,55.0,NotComplied,37045.0
user94,Female,NA,NotComplied,NA
user95,Female,23.0,NotComplied,NA
user96,Female,NA,Complied,36193.0
user97,Male,29.0,NotComplied,NA
user98,Female,48.0,Complied,50033.0
user99,Male,38.0,Complied,35609.0
user100,Male,40.0,Complied,43876.0
user101,Male,30.0,Complied,36613.0
user102,Female,60.0,NotComplied,NA
user103,Male,39.0,NotComplied,44617.0
user104,Male,40.0,NotComplied,36541.0
user105,Female,37.0,NotComplied,NA
user106,Female,NA,Complied,45171.0
user107,Female,39.0,NotComplied,36528.0
user108,Female,45.0,NotComplied,NA
user109,Female,NA,Complied,31732.0
user110,Male,20.0,NotComplied,NA
user111,Male,34.0,NotComplied,NA
user112,Male,32.0,Complied,34652.0
user113,Male,23.0,NotComplied,NA
user114,Male,53.0,NotComplied,38196.0
user115,Female,52.0,NotComplied,NA
user116,Female,43.0,NotComplied,NA
user117,Male,36.0,Complied,33695.0
user118,Male,50.0,Complied,42122.0
user119,Female,NA,Complied,43437.0
user120,Female,NA,Complied,40380.0
user121,Male,40.0,NotComplied,NA
user122,Female,40.0,Complied,39836.0
user123,Male,38.0,NotComplied,NA
user124,Male,35.0,NotComplied,31004.0
user125,Female,64.0,NotComplied,NA
user126,Female,42.0,NotComplied,38073.0
user127,Male,46.0,NotComplied,52680.0
user128,Male,26.0,NotComplied,NA
user129,Male,28.0,NotComplied,26256.0
user130,Male,25.0,Complied,17003.0
user131,Male,49.0,NotComplied,NA
user132,Male,36.0,Complied,35920.0
user133,Female,44.0,NotComplied,31511.0
user134,Female,NA,Complied,41359.0
user135,Male,33.0,NotComplied,31274.0
user136,Female,28.0,NotComplied,NA
user137,Male,37.0,Complied,48922.0
user138,Male,45.0,NotComplied,54646.0
user139,Female,43.0,Complied,42384.0
user140,Male,28.0,Complied,32183.0
user141,Female,NA,Complied,41184.0
user142,Female,43.0,NotComplied,NA
user143,Male,45.0,Complied,31813.0
user144,Male,23.0,Complied,16081.0
user145,Male,32.0,Complied,37854.0
user146,Male,47.0,NotComplied,NA
user147,Male,26.0,Complied,42136.0
user148,Female,NA,NotComplied,59123.0
user149,Female,26.0,Complied,43619.0
user150,Male,60.0,NotComplied,NA
user151,Female,NA,Complied,31259.0
user152,Male,27.0,Complied,38075.0
user153,Male,27.0,NotComplied,49398.0
user154,Male,58.0,Complied,28743.0
user155,Female,NA,NotComplied,NA
user156,Male,66.0,NotComplied,NA
user157,Female,32.0,NotComplied,NA
user158,Female,58.0,NotComplied,47653.0
user159,Female,33.0,Complied,47106.0
user160,Male,52.0,NotComplied,NA
user161,Male,41.0,NotComplied,NA
user162,Male,48.0,NotComplied,NA
user163,Female,NA,NotComplied,NA
user164,Male,52.0,NotComplied,35549.0
user165,Female,42.0,Complied,50569.0
user166,Female,37.0,Complied,45719.0
user167,Male,26.0,NotComplied,48901.0
user168,Male,36.0,NotComplied,NA
user169,Male,38.0,NotComplied,37491.0
user170,Male,31.0,NotComplied,51180.0
user171,Female,31.0,NotComplied,58134.0
user172,Female,NA,NotComplied,NA
user173,Female,NA,Complied,46172.0
user174,Female,NA,Complied,31591.0
user175,Female,40.0,Complied,37617.0
user176,Female,24.0,NotComplied,NA
user177,Female,34.0,Complied,28638.0
user178,Male,40.0,NotComplied,53069.0
user179,Male,45.0,NotComplied,NA
user180,Female,NA,NotComplied,NA
user181,Female,32.0,Complied,43053.0
user182,Female,NA,Complied,50778.0
user183,Male,39.0,NotComplied,35496.0
user184,Male,31.0,Complied,24118.0
user185,Male,48.0,NotComplied,NA
user186,Female,NA,NotComplied,57691.0
user187,Male,27.0,NotComplied,NA
user188,Male,17.0,NotComplied,40186.0
user189,Female,36.0,NotComplied,NA
user190,Female,NA,Complied,34071.0
user191,Female,39.0,Complied,27270.0
user192,Male,39.0,Complied,43007.0
user193,Male,36.0,Complied,44164.0
user194,Female,NA,Complied,35916.0
user195,Male,28.0,NotComplied,NA
user196,Male,42.0,NotComplied,31927.0
user197,Male,45.0,Complied,39243.0
user198,Female,NA,NotComplied,37579.0
user199,Female,NA,Complied,40736.0
user200,Male,30.0,NotComplied,48077.0
user201,Male,43.0,Complied,48338.0
user202,Female,12.0,NotComplied,NA
user203,Female,37.0,Complied,25321.0
user204,Male,53.0,Complied,45839.0
user205,Female,NA,NotComplied,41055.0
user206,Male,55.0,Complied,45878.0
user207,Male,28.0,Complied,57421.0
user208,Female,NA,NotComplied,37848.0
user209,Male,30.0,Complied,56079.0
user210,Female,36.0,Complied,34406.0
user211,Male,41.0,NotComplied,39848.0
user212,Female,NA,Complied,32570.0
user213,Male,45.0,Complied,29023.0
user214,Male,44.0,Complied,30890.0
user215,Female,21.0,Complied,29711.0
user216,Female,42.0,Complied,37763.0
user217,Female,36.0,NotComplied,38421.0
user218,Female,22.0,Complied,42974.0
user219,Female,NA,Complied,45186.0
user220,Male,54.0,Complied,49059.0
user221,Male,32.0,Complied,48385.0
user222,Male,23.0,NotComplied,NA
user223,Male,17.0,Complied,51077.0
user224,Male,48.0,Complied,51555.0
user225,Male,56.0,Complied,50301.0
user226,Male,27.0,NotComplied,49030.0
user227,Female,48.0,Complied,39708.0
user228,Male,31.0,NotComplied,NA
user229,Female,NA,Complied,60612.0
user230,Male,51.0,Complied,51489.0
user231,Male,30.0,Complied,37228.0
user232,Male,42.0,NotComplied,NA
user233,Female,NA,NotComplied,51094.0
user234,Male,41.0,Complied,43198.0
user235,Female,45.0,Complied,56086.0
user236,Female,NA,Complied,36463.0
user237,Male,28.0,Complied,43469.0
user238,Male,23.0,NotComplied,45016.0
user239,Male,27.0,Complied,24842.0
user240,Female,42.0,Complied,33515.0
user241,Female,54.0,NotComplied,NA
user242,Female,38.0,Complied,45683.0
user243,Male,29.0,NotComplied,44318.0
user244,Female,49.0,NotComplied,NA
user245,Female,46.0,NotComplied,NA
user246,Male,42.0,Complied,33495.0
user247,Female,NA,NotComplied,26104.0
user248,Male,46.0,NotComplied,52442.0
user249,Female,49.0,NotComplied,NA
user250,Female,NA,Complied,55625.0
user251,Male,30.0,Complied,57110.0
user252,Female,48.0,NotComplied,NA
user253,Female,NA,Complied,50484.0
user254,Female,38.0,Complied,43609.0
user255,Male,54.0,NotComplied,36109.0
user256,Male,46.0,Complied,35751.0
user257,Female,31.0,NotComplied,NA
user258,Female,NA,Complied,49220.0
user259,Female,46.0,NotComplied,39790.0
user260,Male,35.0,Complied,22392.0
user261,Female,50.0,NotComplied,NA
user262,Female,NA,Complied,41006.0
user263,Male,46.0,Complied,48538.0
user264,Female,25.0,NotComplied,NA
user265,Male,48.0,Complied,33213.0
user266,Female,NA,NotComplied,15994.0
user267,Male,51.0,Complied,64211.0
user268,Male,43.0,Complied,57793.0
user269,Male,48.0,NotComplied,41393.0
user270,Male,58.0,NotComplied,NA
user271,Female,NA,NotComplied,NA
user272,Male,41.0,Complied,49278.0
user273,Male,35.0,NotComplied,NA
user274,Male,63.0,Complied,31556.0
user275,Male,11.0,Complied,22790.0
user276,Male,19.0,Complied,43745.0
user277,Male,32.0,Complied,32267.0
user278,Female,30.0,Complied,33623.0
user279,Female,37.0,NotComplied,61479.0
user280,Female,48.0,NotComplied,38915.0
user281,Male,28.0,Complied,35770.0
user282,Female,NA,Complied,37196.0
user283,Female,47.0,NotComplied,34282.0
user284,Male,38.0,Complied,41127.0
user285,Male,57.0,NotComplied,40497.0
user286,Female,39.0,NotComplied,NA
user287,Male,30.0,NotComplied,48006.0
user288,Male,42.0,Complied,21373.0
user289,Male,45.0,NotComplied,38342.0
user290,Female,NA,NotComplied,NA
user291,Female,NA,Complied,32552.0
user292,Male,42.0,NotComplied,NA
user293,Male,30.0,Complied,44665.0
user294,Male,41.0,Complied,46208.0
user295,Female,41.0,Complied,47032.0
user296,Female,25.0,Complied,43832.0
user297,Female,NA,Complied,73546.0
user298,Male,49.0,NotComplied,42341.0
user299,Male,35.0,NotComplied,NA
user300,Female,NA,Complied,57858.0
user301,Female,NA,NotComplied,44027.0
user302,Male,42.0,NotComplied,NA
user303,Female,39.0,Complied,47045.0
user304,Female,NA,Complied,35111.0
user305,Female,NA,NotComplied,NA
user306,Male,44.0,NotComplied,NA
user307,Female,NA,NotComplied,51564.0
user308,Male,42.0,Complied,57758.0
user309,Male,28.0,Complied,33014.0
user310,Female,NA,NotComplied,NA
user311,Female,33.0,Complied,49573.0
user312,Female,NA,Complied,42120.0
user313,Female,33.0,NotComplied,NA
user314,Male,33.0,Complied,40619.0
user315,Female,NA,Complied,48415.0
user316,Male,28.0,Complied,46113.0
user317,Female,43.0,NotComplied,20974.0
user318,Male,52.0,Complied,46197.0
user319,Female,28.0,NotComplied,50576.0
user320,Male,36.0,Complied,35360.0
user321,Male,35.0,Complied,49196.0
user322,Female,39.0,NotComplied,50830.0
user323,Male,43.0,NotComplied,NA
user324,Male,38.0,NotComplied,36851.0
user325,Male,32.0,Complied,20905.0
user326,Male,52.0,NotComplied,NA
user327,Female,NA,Complied,49704.0
user328,Female,NA,NotComplied,NA
user329,Male,42.0,NotComplied,34692.0
user330,Male,35.0,Complied,49464.0
user331,Female,NA,Complied,40917.0
user332,Female,35.0,Complied,52132.0
user333,Male,48.0,NotComplied,15083.0
user334,Female,49.0,NotComplied,NA
user335,Male,43.0,NotComplied,45109.0
user336,Female,37.0,Complied,56187.0
user337,Male,39.0,NotComplied,NA
user338,Female,NA,Complied,35126.0
user339,Female,31.0,Complied,52098.0
user340,Female,36.0,NotComplied,NA
user341,Female,41.0,NotComplied,39305.0
user342,Male,28.0,Complied,37372.0
user343,Male,54.0,NotComplied,NA
user344,Male,62.0,NotComplied,37051.0
user345,Female,23.0,NotComplied,NA
user346,Female,NA,Complied,32307.0
user347,Female,40.0,NotComplied,39168.0
user348,Female,NA,Complied,25200.0
user349,Male,43.0,NotComplied,48029.0
user350,Female,NA,Complied,45236.0
user351,Female,NA,Complied,47985.0
user352,Female,35.0,NotComplied,33607.0
user353,Female,42.0,Complied,34965.0
user354,Female,39.0,NotComplied,40332.0
user355,Male,33.0,NotComplied,NA
user356,Female,NA,Complied,42550.0
user357,Female,36.0,NotComplied,39290.0
user358,Female,51.0,Complied,44039.0
user359,Male,40.0,NotComplied,39956.0
user360,Male,46.0,NotComplied,52015.0
user361,Male,54.0,NotComplied,30122.0
user362,Female,NA,NotComplied,NA
user363,Male,24.0,Complied,40144.0
user364,Female,NA,Complied,56571.0
user365,Male,39.0,NotComplied,NA
user366,Female,40.0,NotComplied,36829.0
user367,Male,33.0,NotComplied,41334.0
user368,Male,39.0,Complied,46096.0
user369,Female,NA,Complied,38471.0
user370,Male,39.0,NotComplied,41597.0
user371,Male,35.0,Complied,29981.0
user372,Male,37.0,Complied,42577.0
user373,Male,32.0,NotComplied,29852.0
user374,Male,45.0,NotComplied,NA
user375,Male,44.0,Complied,44768.0
user376,Female,43.0,Complied,36757.0
user377,Male,31.0,NotComplied,42362.0
user378,Female,26.0,NotComplied,NA
user379,Female,32.0,Complied,35062.0
user380,Male,35.0,Complied,29989.0
user381,Female,35.0,NotComplied,26830.0
user382,Male,22.0,Complied,33690.0
user383,Female,NA,Complied,35337.0
user384,Female,NA,Complied,12801.0
user385,Female,NA,Complied,43226.0
user386,Female,NA,NotComplied,43942.0
user387,Male,42.0,Complied,58193.0
user388,Male,44.0,Complied,39628.0
user389,Female,NA,NotComplied,29180.0
user390,Male,40.0,Complied,42282.0
user391,Female,44.0,Complied,47790.0
user392,Male,32.0,NotComplied,59965.0
user393,Male,41.0,NotComplied,NA
user394,Female,NA,NotComplied,NA
user395,Male,44.0,NotComplied,NA
user396,Female,NA,NotComplied,NA
user397,Male,32.0,Complied,50245.0
user398,Female,30.0,NotComplied,NA
user399,Female,37.0,Complied,39793.0
user400,Female,32.0,NotComplied,25084.0
user401,Male,53.0,NotComplied,38564.0
user402,Female,NA,NotComplied,52649.0
user403,Male,43.0,Complied,44244.0
user404,Female,71.0,NotComplied,22768.0
user405,Female,NA,NotComplied,NA
user406,Female,NA,NotComplied,NA
user407,Female,61.0,Complied,50014.0
user408,Female,29.0,NotComplied,38024.0
user409,Female,NA,Complied,51658.0
user410,Female,44.0,Complied,37838.0
user411,Female,NA,Complied,39228.0
user412,Female,NA,Complied,31805.0
user413,Female,NA,Complied,48469.0
user414,Male,52.0,NotComplied,NA
user415,Male,42.0,Complied,34287.0
user416,Male,49.0,Complied,44885.0
user417,Female,37.0,NotComplied,NA
user418,Female,NA,NotComplied,35662.0
user419,Male,28.0,Complied,48631.0
user420,Female,29.0,NotComplied,40949.0
user421,Male,42.0,Complied,44699.0
user422,Female,NA,NotComplied,13525.0
user423,Female,NA,Complied,46141.0
user424,Female,NA,Complied,44767.0
user425,Female,46.0,Complied,24350.0
user426,Female,NA,NotComplied,37815.0
user427,Female,38.0,NotComplied,NA
user428,Female,NA,Complied,52419.0
