userId,Gender,Age,ITRCompliance,Income
user0,Male,41.0,NotComplied,NA
user1,Female,28.0,Complied,47819.0
user2,Female,61.0,NotComplied,38118.0
user3,Female,55.0,Complied,49262.0
user4,Female,34.0,NotComplied,49508.0
user5,Male,37.0,Complied,36002.0
user6,Female,46.0,NotComplied,NA
user7,Male,28.0,NotComplied,NA
user8,Male,37.0,Complied,NA
user9,Female,46.0,NotComplied,35030.0
user10,Male,59.0,NotComplied,25413.0
user11,Male,46.0,Complied,35171.0
user12,Female,30.0,Complied,45529.0
user13,Male,46.0,NotComplied,31912.0
user14,Female,50.0,Complied,41451.0
user15,Male,35.0,Complied,24672.0
user16,Male,46.0,Complied,34685.0
user17,Female,48.0,NotComplied,5556.0
user18,Male,55.0,Complied,33437.0
user19,Male,57.0,NotComplied,NA
user20,Male,38.0,NotComplied,30827.0
user21,Female,27.0,Complied,38362.0
user22,Female,34.0,Complied,42347.0
user23,Male,31.0,Complied,37133.0
user24,Female,25.0,NotComplied,37543.0
user25,Female,32.0,Complied,NA
user26,Female,23.0,NotComplied,30850.0
user27,Female,35.0,Complied,39858.0
user28,Male,27.0,Complied,NA
user29,Female,34.0,NotComplied,28233.0
user30,Female,47.0,NotComplied,29950.0
user31,Male,50.0,Complied,30916.0
user32,Male,40.0,Complied,NA
user33,Female,38.0,NotComplied,42694.0
user34,Male,45.0,Complied,NA
user35,Male,43.0,Complied,NA
user36,Male,43.0,NotComplied,NA
user37,Male,33.0,NotComplied,21635.0
user38,Male,47.0,NotComplied,32253.0
user39,Female,28.0,Complied,35733.0
user40,Female,42.0,Complied,NA
user41,Female,38.0,Complied,35945.0
user42,Female,44.0,Complied,NA
user43,Female,36.0,NotComplied,30879.0
user44,Female,29.0,NotComplied,50220.0
user45,Male,31.0,NotComplied,26965.0
user46,Female,50.0,Complied,38291.0
user47,Female,37.0,Complied,30130.0
user48,Female,42.0,Complied,NA
user49,Female,22.0,Complied,23362.0
user50,Female,48.0,Complied,40486.0
user51,Female,42.0,Complied,39356.0
user52,Female,48.0,NotComplied,39194.0
user53,Male,44.0,Complied,33974.0
user54,Male,38.0,NotComplied,53883.0
user55,Female,49.0,Complied,51961.0
user56,Male,33.0,Complied,NA
user57,Male,32.0,Complied,NA
user58,Male,53.0,Complied,NA
user59,Female,37.0,NotComplied,33563.0
user60,Female,49.0,NotComplied,37425.0
user61,Female,45.0,NotComplied,NA
user62,Male,29.0,NotComplied,21293.0
user63,Female,30.0,NotComplied,NA
user64,Female,37.0,Complied,NA
user65,Male,39.0,Complied,NA
user66,Male,24.0,NotComplied,41457.0
user67,Female,48.0,Complied,34467.0
user68,Male,36.0,NotComplied,61999.0
user69,Male,56.0,Complied,47474.0
user70,Male,46.0,NotComplied,39831.0
user71,Female,42.0,NotComplied,NA
user72,Female,39.0,Complied,22832.0
user73,Female,34.0,Complied,NA
user74,Female,46.0,Complied,25497.0
user75,Female,41.0,NotComplied,47792.0
user76,Female,39.0,Complied,35515.0
user77,Male,45.0,Complied,39513.0
user78,Female,51.0,NotComplied,26878.0
user79,Male,24.0,Complied,25526.0
user80,Male,14.0,NotComplied,NA
user81,Male,44.0,NotComplied,35310.0
user82,Female,43.0,NotComplied,48923.0
user83,Female,60.0,NotComplied,32953.0
user84,Male,46.0,NotComplied,51687.0
user85,Female,25.0,NotComplied,39573.0
user86,Female,47.0,Complied,NA
user87,Female,42.0,Complied,27436.0
user88,Male,42.0,Complied,32740.0
user89,Female,33.0,Complied,46656.0
user90,Male,57.0,NotComplied,38266.0
user91,Male,36.0,Complied,33418.0
user92,Male,49.0,Complied,NA
user93,Female,73.0,NotComplied,32019.0
user94,Male,57.0,Complied,26354.0
user95,Male,15.0,NotComplied,34955.0
user96,Male,54.0,Complied,51680.0
user97,Female,44.0,Complied,NA
user98,Female,43.0,Complied,34404.0
user99,Male,33.0,Complied,NA
user100,Male,47.0,Complied,33631.0
user101,Female,49.0,NotComplied,30675.0
user102,Male,20.0,Complied,NA
user103,Female,31.0,Complied,NA
user104,Female,29.0,NotComplied,21400.0
user105,Female,30.0,NotComplied,NA
user106,Female,34.0,Complied,38980.0
user107,Male,38.0,Complied,31790.0
user108,Male,40.0,NotComplied,50827.0
user109,Female,33.0,Complied,39475.0
user110,Male,37.0,Complied,NA
user111,Female,44.0,Complied,51678.0
user112,Female,43.0,Complied,NA
user113,Female,45.0,Complied,41307.0
user114,Male,27.0,Complied,NA
user115,Male,39.0,Complied,NA
user116,Female,29.0,NotComplied,47075.0
user117,Male,31.0,Complied,32829.0
user118,Male,27.0,NotComplied,36217.0
user119,Female,45.0,Complied,NA
user120,Male,42.0,Complied,33266.0
user121,Male,24.0,NotComplied,47872.0
user122,Male,11.0,NotComplied,42057.0
user123,Male,27.0,NotComplied,14542.0
user124,Female,47.0,Complied,NA
user125,Female,39.0,Complied,NA
user126,Male,19.0,Complied,57907.0
user127,Female,32.0,NotComplied,46962.0
user128,Male,36.0,NotComplied,18446.0
user129,Male,31.0,NotComplied,30384.0
user130,Male,47.0,Complied,NA
user131,Male,37.0,NotComplied,39880.0
user132,Female,32.0,Complied,NA
user133,Female,39.0,Complied,NA
user134,Female,39.0,Complied,42679.0
user135,Male,33.0,Complied,48847.0
